Provincia,Alianza,Año elección,Cargo,Subcategoria Cargo,Posicion,Apellido,Nombres,Género
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,7,Simiele,Osvaldo Alberto,M
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,8,Motyl,Natalia Melani,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,9,Laborde,Adolfo Miguel,M
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,10,Delgado Luna,Daniela Virginia,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,11,Ferraina,Victorio Alejandro,M
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,12,Bensusan,Maria Soledad,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,13,Ulieldin,Diego Alejandro,M
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,14,Mazzamuto,Norma Silvia,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,15,Hanon,Leandro Ceferino,M
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,16,Bunge,Luisa,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,17,Güiraldes,Adolfo Carlos Santos,M
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,18,Bassani,Vanesa Judith,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,19,Luchini,Alejandro Fabian,M
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,20,Bin,Griselda Adriana,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,21,Gallardo,Luis Fernando,M
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,22,Gonard,Maria Teresa,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,23,Dotti,Walter Mario,M
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,24,Sosa,Mariela Edith,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,25,Lopez Anadon,Ricardo Enrique,M
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,26,Agudiez,Maria Belen,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,27,Gonzalez Prieto,Fernando Antonio,M
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,28,Di Risio,Rocio Carolina Solange,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,29,Avancini,Diego,M
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,30,Novillo,Laura Veronica,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,31,Radibaniuk,Diego Maximiliano,M
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,32,Sere,Juana Ines,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,33,Jaugust,Jose Manuel,M
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,34,Castellano,Nancy Noelia,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Titulares,35,Gutierrez,Silvano Alejandro,M
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Suplentes,1,Guzman Rodriguez,Malena,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Suplentes,2,Berton,Facundo Luciano,M
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Suplentes,3,Battilana,Agustina,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Suplentes,4,Varela,Hector Eduardo,M
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Suplentes,5,Amaya,Anabela Lilian,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Suplentes,6,Landera,Eduardo O,M
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Suplentes,7,Lavin,Mirta Noemi,F
Buenos Aires,Alianza Avanza Libertad,2021,Diputados Nacionales,Suplentes,8,Duarte,Daniel Alejandro,M
